Time,Message
251806.9383418,b'Frame Received\r\n'
251807.0388845,b'Frame Received\r\n'
251807.1387895,b'Frame Received\r\n'
251807.2370809,b'Frame Received\r\n'
251807.3392103,b'Frame Received\r\n'
251807.4393199,b'Frame Received\r\n'
251807.5367655,b'Frame Received\r\n'
251807.6388591,b'Frame Received\r\n'
251807.7388545,b'Frame Received\r\n'
251807.8368472,b'Frame Received\r\n'
251807.93874,b'Frame Received\r\n'
251808.0389338,b'Frame Received\r\n'
251808.1384816,b'Frame Received\r\n'
251808.2390939,b'Frame Received\r\n'
251808.3389589,b'Frame Received\r\n'
251808.439114,b'Frame Received\r\n'
251808.5391019,b'Frame Received\r\n'
251808.6393746,b'Frame Received\r\n'
251808.7393019,b'Frame Received\r\n'
251808.8379416,b'Frame Received\r\n'
251808.938755,b'Frame Received\r\n'
251809.0388175,b'Frame Received\r\n'
251809.1369345,b'Frame Received\r\n'
251809.2389764,b'Frame Received\r\n'
251809.3365108,b'Frame Received\r\n'
251809.4391478,b'Frame Received\r\n'
251809.5392371,b'Frame Received\r\n'
251809.6387049,b'Frame Received\r\n'
251809.7387317,b'Frame Received\r\n'
251809.8372921,b'Frame Received\r\n'
251809.9389077,b'Frame Received\r\n'
251810.03915,b'Frame Received\r\n'
251810.1386865,b'Frame Received\r\n'
251810.2389755,b'Frame Received\r\n'
251810.3390919,b'Frame Received\r\n'
251810.4373899,b'Frame Received\r\n'
251810.5370786,b'Frame Received\r\n'
251810.6390956,b'Frame Received\r\n'
251810.7390566,b'Frame Received\r\n'
251810.8364427,b'Frame Received\r\n'
251810.9372951,b'Frame Received\r\n'
251811.0367552,b'Frame Received\r\n'
251811.1387955,b'Frame Received\r\n'
251811.2390167,b'Frame Received\r\n'
251811.3389702,b'Frame Received\r\n'
251811.4389457,b'Frame Received\r\n'
251811.5365046,b'Frame Received\r\n'
251811.6389301,b'Frame Received\r\n'
251811.7389168,b'Frame Received\r\n'
251811.8362801,b'Frame Received\r\n'
251811.9367236,b'Frame Received\r\n'
251812.0383888,b'Frame Received\r\n'
251812.1388768,b'Frame Received\r\n'
251812.2388753,b'Frame Received\r\n'
251812.3389957,b'Frame Received\r\n'
251812.438973,b'Frame Received\r\n'
251812.5374268,b'Frame Received\r\n'
251812.6389358,b'Frame Received\r\n'
251812.7390193,b'Frame Received\r\n'
251812.8360373,b'Frame Received\r\n'
251812.938907,b'Frame Received\r\n'
251813.0371029,b'Frame Received\r\n'
251813.1391857,b'Frame Received\r\n'
251813.2386811,b'Frame Received\r\n'
251813.3390012,b'Frame Received\r\n'
251813.4390357,b'Frame Received\r\n'
251813.5389701,b'Frame Received\r\n'
251813.6389075,b'Frame Received\r\n'
251813.7371911,b'Frame Received\r\n'
251813.8360516,b'Frame Received\r\n'
251813.9390133,b'Frame Received\r\n'
251814.0387922,b'Frame Received\r\n'
251814.1370111,b'Frame Received\r\n'
251814.2390993,b'Frame Received\r\n'
251814.3395669,b'Frame Received\r\n'
251814.438747,b'Frame Received\r\n'
251814.5386937,b'Frame Received\r\n'
251814.636615,b'Frame Received\r\n'
251814.7366401,b'Frame Received\r\n'
251814.8365938,b'Frame Received\r\n'
251814.938821,b'Frame Received\r\n'
251815.0363258,b'Frame Received\r\n'
251815.1371221,b'Frame Received\r\n'
251815.2389926,b'Frame Received\r\n'
251815.338863,b'Frame Received\r\n'
251815.4394741,b'Frame Received\r\n'
251815.5374194,b'Frame Received\r\n'
251815.6370143,b'Frame Received\r\n'
251815.736704,b'Frame Received\r\n'
251815.8362933,b'Frame Received\r\n'
251815.9369315,b'Frame Received\r\n'
251816.0388034,b'Frame Received\r\n'
251816.138879,b'Frame Received\r\n'
251816.2389119,b'Frame Received\r\n'
251816.3388056,b'Frame Received\r\n'
251816.4367206,b'Frame Received\r\n'
251816.5389315,b'Frame Received\r\n'
251816.6388939,b'Frame Received\r\n'
251816.7387972,b'Frame Received\r\n'
251816.8391361,b'Frame Received\r\n'
251816.9374714,b'Frame Received\r\n'
251817.0385824,b'Frame Received\r\n'
251817.1369565,b'Frame Received\r\n'
251817.2388316,b'Frame Received\r\n'
251817.3377378,b'Frame Received\r\n'
251817.4388622,b'Frame Received\r\n'
251817.5389791,b'Frame Received\r\n'
251817.6384081,b'Frame Received\r\n'
251817.7387194,b'Frame Received\r\n'
251817.8388885,b'Frame Received\r\n'
251817.9388156,b'Frame Received\r\n'
251818.0367389,b'Frame Received\r\n'
