Time,Message
251804.7362468,b'TX Frame Sent\r\n'
251804.8373325,b'TX Frame Sent\r\n'
251804.9388471,b'TX Frame Sent\r\n'
251805.037402,b'TX Frame Sent\r\n'
251805.138371,b'TX Frame Sent\r\n'
251805.2388963,b'TX Frame Sent\r\n'
251805.3388174,b'TX Frame Sent\r\n'
251805.4390071,b'TX Frame Sent\r\n'
251805.5371286,b'TX Frame Sent\r\n'
251805.6389286,b'TX Frame Sent\r\n'
251805.7388584,b'TX Frame Sent\r\n'
251805.8371978,b'TX Frame Sent\r\n'
251805.9372244,b'TX Frame Sent\r\n'
251806.0370957,b'TX Frame Sent\r\n'
251806.137023,b'TX Frame Sent\r\n'
251806.2388101,b'TX Frame Sent\r\n'
251806.3375079,b'TX Frame Sent\r\n'
251806.4388861,b'TX Frame Sent\r\n'
251806.5388586,b'TX Frame Sent\r\n'
251806.6382583,b'TX Frame Sent\r\n'
251806.738831,b'TX Frame Sent\r\n'
251806.8365882,b'TX Frame Sent\r\n'
251806.9381593,b'TX Frame Sent\r\n'
251807.0387883,b'TX Frame Sent\r\n'
251807.1391261,b'TX Frame Sent\r\n'
251807.2370283,b'TX Frame Sent\r\n'
251807.339121,b'TX Frame Sent\r\n'
251807.4393199,b'TX Frame Sent\r\n'
251807.5367655,b'TX Frame Sent\r\n'
251807.6388017,b'TX Frame Sent\r\n'
251807.7387739,b'TX Frame Sent\r\n'
251807.8366003,b'TX Frame Sent\r\n'
251807.9387134,b'TX Frame Sent\r\n'
251808.0388843,b'TX Frame Sent\r\n'
251808.1384843,b'TX Frame Sent\r\n'
251808.2389541,b'TX Frame Sent\r\n'
251808.3387583,b'TX Frame Sent\r\n'
251808.4388944,b'TX Frame Sent\r\n'
251808.5389679,b'TX Frame Sent\r\n'
251808.6393181,b'TX Frame Sent\r\n'
251808.7392872,b'TX Frame Sent\r\n'
251808.8379982,b'TX Frame Sent\r\n'
251808.9387548,b'TX Frame Sent\r\n'
251809.0387667,b'TX Frame Sent\r\n'
251809.1364649,b'TX Frame Sent\r\n'
251809.2388988,b'TX Frame Sent\r\n'
251809.3366237,b'TX Frame Sent\r\n'
251809.4389639,b'TX Frame Sent\r\n'
251809.5390997,b'TX Frame Sent\r\n'
251809.6386882,b'TX Frame Sent\r\n'
251809.7386824,b'TX Frame Sent\r\n'
251809.8371718,b'TX Frame Sent\r\n'
251809.9388847,b'TX Frame Sent\r\n'
251810.0390485,b'TX Frame Sent\r\n'
251810.1386165,b'TX Frame Sent\r\n'
251810.2387985,b'TX Frame Sent\r\n'
251810.3389183,b'TX Frame Sent\r\n'
251810.437215,b'TX Frame Sent\r\n'
251810.5369208,b'TX Frame Sent\r\n'
251810.6389787,b'TX Frame Sent\r\n'
251810.7388911,b'TX Frame Sent\r\n'
251810.8364427,b'TX Frame Sent\r\n'
251810.9372099,b'TX Frame Sent\r\n'
251811.0367319,b'TX Frame Sent\r\n'
251811.1387772,b'TX Frame Sent\r\n'
251811.2388439,b'TX Frame Sent\r\n'
251811.3389198,b'TX Frame Sent\r\n'
251811.4387332,b'TX Frame Sent\r\n'
251811.5366767,b'TX Frame Sent\r\n'
251811.6388227,b'TX Frame Sent\r\n'
251811.7388129,b'TX Frame Sent\r\n'
251811.8363118,b'TX Frame Sent\r\n'
251811.9363778,b'TX Frame Sent\r\n'
251812.0383563,b'TX Frame Sent\r\n'
251812.1387161,b'TX Frame Sent\r\n'
